,PMID,Title,Abstract,Journal,Language,PubDate,SearchTerms
10,29474265,Global mental health and schizophrenia.,The aim was to synthesize recent evidence on schizophrenia illness experience and outcomes and models of care in low and middle-income countries (LMICs).,Current opinion in psychiatry,eng,05/NA/2018,['mental health']
11,29528897,Urban mental health: challenges and perspectives.,To provide an update on urban mental health and highlight the challenges that require urgent attention.,Current opinion in psychiatry,eng,05/NA/2018,['mental health']
12,29401120,Mental health and substance use in HIV-infected adolescents.,Adolescents with HIV include both those infected perinatally and behaviourally. This population is confronted by normative challenges and HIV stressors as they move towards becoming increasingly independent adults. This review focuses on mental health and substance use in adolescents with HIV. These are important issues in their own right as well as having implications for antiretroviral therapy (ART) adherence and HIV management.,Current opinion in HIV and AIDS,eng,05/NA/2018,['mental health']
13,29352022,Of mice and mental health: facilitating dialogue and seeing further.,"The science of mental life is critical for understanding both how we function, and impairments in our functioning. However, understanding the causal mechanisms underlying mental health disorders and developing new treatments are challenges too great to be solved by any individual approach. There is a growing awareness that translational research-from laboratory to patient and back again to animal models-will be critical for the improved understanding and treatment of mental health disorders. The motivation and intention to pursue translational approaches is therefore strong in mental health research, but critically, opportunities for interaction between basic scientists and clinicians are relatively limited, and vary depending on the institution in which researchers are working. This has promoted the development of a 'culture gap' between basic and clinical scientists that limits interaction and sharing of knowledge. Here, we provide 14 examples of contemporary translational research and call for an increased collaborative approach to mental health research that spans clinical diagnoses, levels of analysis and bridges between basic to clinical mental health sciences, including, but not limited to, psychology and neuroscience. What is needed is an inclusive and integrated approach, bringing together scientists working at all levels of enquiry with clinicians providing insights on what works (and what does not). To stimulate the much-needed innovation in therapeutic techniques, an analysis of component parts is critical. Our approach suggests simplifying complex behaviours into distinct psychological components. Asking collaboratively driven scientific questions about dysfunction will also benefit our fundamental understanding of mental life.This article is part of a discussion meeting issue 'Of mice and mental health: facilitating dialogue between basic and clinical neuroscientists'.","Philosophical transactions of the Royal Society of London. Series B, Biological sciences",eng,03/19/2018,['mental health']
14,29315707,Community Psychology and Community Mental Health: A Call for Reengagement.,"Community psychology is rooted in community mental health research and practice and has made important contributions to this field. Yet, in the decades since its inception, community psychology has reduced its focus on promoting mental health, well-being, and liberation of individuals with serious mental illnesses. This special issue endeavors to highlight current efforts in community mental health from our field and related disciplines and point to future directions for reengagement in this area. The issue includes 12 articles authored by diverse stakeholder groups. Following a review of the state of community mental health scholarship in the field's two primary journals since 1973, the remaining articles center on four thematic areas: (a) the community experience of individuals with serious mental illness; (b) the utility of a participatory and cross-cultural lens in our engagement with community mental health; (c) Housing First implementation, evaluation, and dissemination; and (d) emerging or under-examined topics. In reflection, we conclude with a series of challenges for community psychologists involved in future, transformative, movements in community mental health.",American journal of community psychology,eng,03/NA/2018,['mental health']
15,29528899,Mental health and urbanization: a Russian perspective.,"Despite being a pressing problem, the influence of urbanization on mental health is still underestimated in Russia. Although few studies on the topic in recent years were available, viewpoints of the expert community in Russia will be presented. Intensive urbanization impacts on the living conditions of the majority of the country's population being associated with mass migration of the population, a change in the structure of employment, the restructuring of family relations, and the need to adapt to unaccustomed living conditions.",Current opinion in psychiatry,eng,05/NA/2018,['mental health']
16,29356216,Treatment gap for anxiety disorders is global: Results of the World Mental Health Surveys in 21 countries.,"Anxiety disorders are a major cause of burden of disease. Treatment gaps have been described, but a worldwide evaluation is lacking. We estimated, among individuals with a 12-month DSM-IV (where DSM is Diagnostic Statistical Manual) anxiety disorder in 21 countries, the proportion who (i) perceived a need for treatment; (ii) received any treatment; and (iii) received possibly adequate treatment.",Depression and anxiety,eng,03/NA/2018,['mental health']
17,29478063,"Epigenetics, Early Adversity and Child and Adolescent Mental Health.","Epigenetic modification, such as DNA methylation (DNAm), is a mechanism that can help explain how early adversities can engender long-term vulnerability for mental health problems. At present, there is preliminary evidence to support the possibility of epigenetic mediation: environmental factors are reported to influence offspring DNAm, which in turn associate with child and adolescent psychopathology. However, all analyses have been correlational in nature and, as these studies have focussed on children and adolescents, DNAm has been based on peripheral tissue (cord blood, whole blood, buccal cells). Therefore, the extent to which DNAm could represent a causal mechanism (e.g., a surrogate of central nervous system function) or a biomarker (i.e., an indicator of the pathological process leading to disease) is unclear. This short report has 2 main components. First, 2 studies are summarized, one a candidate gene study and the other an epigenome-wide association study in which DNAm was reported to (partially) mediate the link between adversity and child development. Second, there is a discussion of (1) the ""tissue issue,"" (2) maximizing the interpretability of candidate gene and epigenome-wide approaches, and (3) the need for examining DNAm as a potential biomarker for mental health. It is argued that advances within these 3 areas will make clearer the role of DNAm in the link between adversity and child and adolescent mental health.",Psychopathology,eng,NA/NA/2018,['mental health']
18,29426812,Toward Impactful Collaborations on Computing and Mental Health.,"We describe an initiative to bring mental health researchers, computer scientists, human-computer interaction researchers, and other communities together to address the challenges of the global mental ill health epidemic. Two face-to-face events and one special issue of the Journal of Medical Internet Research were organized. The works presented in these events and publication reflect key state-of-the-art research in this interdisciplinary collaboration. We summarize the special issue articles and contextualize them to present a picture of the most recent research. In addition, we describe a series of collaborative activities held during the second symposium and where the community identified 5 challenges and their possible solutions.",Journal of medical Internet research,eng,02/09/2018,['mental health']
19,29352037,Preface.,No Abstract,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",eng,03/19/2018,['mental health']
20,29528900,The impact of urbanization on mental health in India.,India has experienced rapid urbanization in the last few decades. This review focuses on recent research related to the effects of urbanization on mental health with a specific focus on various population groups in urban India.,Current opinion in psychiatry,eng,05/NA/2018,['mental health']
